         5626494 function calls (5602257 primitive calls) in 17.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:642(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:653(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:664(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:681(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:714(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:734(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:743(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:834(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:869(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:892(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:909(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:926(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:963(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:989(_CountAction)
        1    0.000    0.000    0.000    0.000 base.html:1(<module>)
      335    0.000    0.000    0.025    0.000 base.html:5(root)
      200    0.001    0.000    0.002    0.000 client.py:1061(putheader)
       50    0.000    0.000    0.088    0.002 client.py:1089(endheaders)
       50    0.000    0.000    0.091    0.002 client.py:1104(request)
       50    0.000    0.000    0.000    0.000 client.py:1108(_set_content_length)
       50    0.001    0.000    0.091    0.002 client.py:1132(_send_request)
       50    0.000    0.000    0.000    0.000 client.py:1134(<listcomp>)
       50    0.000    0.000    0.065    0.001 client.py:1153(getresponse)
       90    0.002    0.000    0.022    0.000 client.py:194(parse_headers)
       50    0.000    0.000    0.001    0.000 client.py:227(__init__)
       50    0.000    0.000    0.050    0.001 client.py:257(_read_status)
       50    0.001    0.000    0.063    0.001 client.py:290(begin)
       50    0.000    0.000    0.001    0.000 client.py:370(_check_close)
       50    0.000    0.000    0.003    0.000 client.py:400(_close_conn)
       50    0.000    0.000    0.000    0.000 client.py:405(close)
       50    0.000    0.000    0.000    0.000 client.py:417(flush)
       50    0.000    0.000    0.004    0.000 client.py:437(read)
       50    0.000    0.000    0.001    0.000 client.py:591(_safe_read)
       50    0.000    0.000    0.000    0.000 client.py:730(info)
       50    0.000    0.000    0.001    0.000 client.py:749(__init__)
       50    0.000    0.000    0.000    0.000 client.py:792(_get_hostport)
       50    0.000    0.000    0.000    0.000 client.py:812(set_debuglevel)
       50    0.000    0.000    0.041    0.001 client.py:846(connect)
       50    0.000    0.000    0.000    0.000 client.py:855(close)
       50    0.000    0.000    0.088    0.002 client.py:869(send)
      250    0.000    0.000    0.000    0.000 client.py:917(_output)
       50    0.000    0.000    0.088    0.002 client.py:924(_send_output)
       50    0.000    0.000    0.001    0.000 client.py:938(putrequest)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        4    0.000    0.000    0.000    0.000 codecs.py:330(getstate)
        2    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
        3    0.000    0.000    0.002    0.001 compiler.py:1040(visit_For)
        8    0.000    0.000    0.000    0.000 compiler.py:105(__init__)
        3    0.000    0.000    0.000    0.000 compiler.py:1166(visit_If)
       20    0.000    0.000    0.001    0.000 compiler.py:1216(visit_Output)
       25    0.000    0.000    0.000    0.000 compiler.py:129(is_declared)
        5    0.000    0.000    0.001    0.000 compiler.py:135(copy)
        8    0.000    0.000    0.000    0.000 compiler.py:142(__init__)
       25    0.000    0.000    0.000    0.000 compiler.py:1420(visit_Name)
        6    0.000    0.000    0.000    0.000 compiler.py:1426(visit_Const)
        2    0.000    0.000    0.000    0.000 compiler.py:1468(visitor)
        3    0.000    0.000    0.000    0.000 compiler.py:1523(visit_Compare)
        3    0.000    0.000    0.000    0.000 compiler.py:1528(visit_Operand)
       10    0.000    0.000    0.000    0.000 compiler.py:1532(visit_Getattr)
        1    0.000    0.000    0.000    0.000 compiler.py:1561(visit_Filter)
        1    0.000    0.000    0.000    0.000 compiler.py:1612(visit_Call)
        1    0.000    0.000    0.000    0.000 compiler.py:1622(visit_Keyword)
        3    0.000    0.000    0.000    0.000 compiler.py:185(copy)
        8    0.000    0.000    0.002    0.000 compiler.py:193(inspect)
        3    0.000    0.000    0.000    0.000 compiler.py:202(find_shadowed)
        3    0.000    0.000    0.000    0.000 compiler.py:209(<genexpr>)
        3    0.000    0.000    0.000    0.000 compiler.py:211(inner)
        3    0.000    0.000    0.000    0.000 compiler.py:215(soft)
        5    0.000    0.000    0.000    0.000 compiler.py:234(__init__)
        1    0.000    0.000    0.000    0.000 compiler.py:238(visit_Filter)
        2    0.000    0.000    0.000    0.000 compiler.py:246(visit_Block)
       11    0.000    0.000    0.000    0.000 compiler.py:256(__init__)
       31    0.000    0.000    0.000    0.000 compiler.py:260(visit_Name)
        2    0.000    0.000    0.000    0.000 compiler.py:268(visit_Block)
        8    0.000    0.000    0.000    0.000 compiler.py:275(__init__)
       25    0.000    0.000    0.000    0.000 compiler.py:278(visit_Name)
        3    0.000    0.000    0.001    0.000 compiler.py:288(visit_If)
        6    0.000    0.000    0.001    0.000 compiler.py:295(inner_visit)
        3    0.000    0.000    0.000    0.000 compiler.py:339(visit_For)
        2    0.000    0.000    0.000    0.000 compiler.py:357(visit_Block)
        3    0.000    0.000    0.000    0.000 compiler.py:370(__init__)
        1    0.000    0.000    0.000    0.000 compiler.py:429(temporary_identifier)
       24    0.000    0.000    0.000    0.000 compiler.py:455(indent)
       23    0.000    0.000    0.000    0.000 compiler.py:459(outdent)
        2    0.000    0.000    0.000    0.000 compiler.py:463(start_write)
        2    0.000    0.000    0.000    0.000 compiler.py:470(end_write)
        2    0.000    0.000    0.000    0.000 compiler.py:475(simple_write)
     13/5    0.000    0.000    0.003    0.001 compiler.py:481(blockvisit)
      204    0.000    0.000    0.000    0.000 compiler.py:496(write)
       92    0.000    0.000    0.000    0.000 compiler.py:511(writeline)
      105    0.000    0.000    0.000    0.000 compiler.py:516(newline)
        2    0.000    0.000    0.000    0.000 compiler.py:523(signature)
        3    0.000    0.000    0.000    0.000 compiler.py:533(<genexpr>)
        3    0.000    0.000    0.008    0.003 compiler.py:55(generate)
        8    0.000    0.000    0.000    0.000 compiler.py:576(pull_locals)
        5    0.000    0.000    0.001    0.000 compiler.py:581(pull_dependencies)
        1    0.000    0.000    0.000    0.000 compiler.py:594(unoptimize_scope)
        3    0.000    0.000    0.000    0.000 compiler.py:606(push_scope)
        3    0.000    0.000    0.000    0.000 compiler.py:628(pop_scope)
        3    0.000    0.000    0.008    0.003 compiler.py:761(visit_Template)
        5    0.000    0.000    0.000    0.000 compiler.py:852(<genexpr>)
       21    0.000    0.000    0.000    0.000 compiler.py:857(<genexpr>)
        2    0.000    0.000    0.000    0.000 compiler.py:860(visit_Block)
        1    0.000    0.000    0.000    0.000 compiler.py:879(visit_Extends)
       11    0.000    0.000    0.001    0.000 compiler.py:89(find_undeclared)
        1    0.000    0.000    0.000    0.000 compiler.py:926(visit_Include)
      192    0.000    0.000    0.000    0.000 config.py:28(__get__)
        5    0.000    0.000    0.000    0.000 connections.py:192(<listcomp>)
        5    0.000    0.000    0.000    0.000 connections.py:206(<listcomp>)
        5    0.000    0.000    0.000    0.000 connections.py:209(<listcomp>)
        5    0.000    0.000    0.000    0.000 connections.py:212(_get_string_literal)
        5    0.000    0.000    0.000    0.000 connections.py:218(_get_unicode_literal)
        5    0.000    0.000    0.000    0.000 connections.py:229(_get_string_decoder)
   710900    0.282    0.000    2.601    0.000 connections.py:230(string_decoder)
        5    0.000    0.000    0.000    0.000 connections.py:258(autocommit)
       60    0.000    0.000    0.001    0.000 connections.py:263(cursor)
       70    0.245    0.003    0.245    0.003 connections.py:274(query)
       10    0.000    0.000    0.000    0.000 connections.py:293(literal)
        5    0.000    0.000    0.000    0.000 connections.py:334(set_character_set)
       20    0.000    0.000    0.000    0.000 connections.py:45(numeric_part)
        1    0.000    0.000    0.000    0.000 connections.py:61(Connection)
        5    0.002    0.000    0.004    0.001 connections.py:68(__init__)
        1    0.000    0.000    0.000    0.000 connections.py:8(<module>)
        1    0.000    0.000    0.000    0.000 converters.py:33(<module>)
       10    0.000    0.000    0.000    0.000 converters.py:58(Thing2Str)
    137/5    0.000    0.000    0.001    0.000 copy.py:137(deepcopy)
       47    0.000    0.000    0.000    0.000 copy.py:192(_deepcopy_atomic)
       25    0.000    0.000    0.000    0.000 copy.py:214(_deepcopy_list)
       30    0.000    0.000    0.000    0.000 copy.py:222(_deepcopy_tuple)
       30    0.000    0.000    0.000    0.000 copy.py:223(<listcomp>)
        5    0.000    0.000    0.001    0.000 copy.py:239(_deepcopy_dict)
       85    0.000    0.000    0.000    0.000 copy.py:253(_keep_alive)
     30/5    0.000    0.000    0.001    0.000 copy.py:269(_reconstruct)
        5    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
       40    0.000    0.000    0.000    0.000 ctx.py:165(__init__)
       40    0.000    0.000    0.001    0.000 ctx.py:174(push)
       40    0.000    0.000    0.000    0.000 ctx.py:182(pop)
       40    0.000    0.000    0.004    0.000 ctx.py:237(__init__)
       40    0.000    0.000    0.002    0.000 ctx.py:288(match_request)
       40    0.000    0.000    0.006    0.000 ctx.py:299(push)
       40    0.000    0.000    0.002    0.000 ctx.py:336(pop)
       40    0.000    0.000    0.002    0.000 ctx.py:381(auto_pop)
       70    0.000    0.000    0.000    0.000 cursors.py:105(_check_executed)
       70    0.001    0.000    0.001    0.000 cursors.py:109(_warning_check)
       70    0.000    0.000    0.000    0.000 cursors.py:132(nextset)
       70    0.001    0.000    1.459    0.021 cursors.py:152(_do_get_result)
      350    0.000    0.000    0.000    0.000 cursors.py:169(_get_db)
       70    0.001    0.000    7.981    0.114 cursors.py:177(execute)
       70    0.000    0.000    1.704    0.024 cursors.py:338(_do_query)
       70    0.000    0.000    6.271    0.090 cursors.py:348(_fetch_row)
       70    0.000    0.000    1.457    0.021 cursors.py:375(_get_result)
       70    0.000    0.000    7.979    0.114 cursors.py:377(_query)
